nodeId1,portId1,nodeId2,portId2,bandwidth,delay
74,0,521,2,400Gbps,1ns
74,1,585,2,400Gbps,1ns
74,2,649,2,400Gbps,1ns
74,3,713,2,400Gbps,1ns
74,4,777,2,400Gbps,1ns
74,5,841,2,400Gbps,1ns
74,6,905,2,400Gbps,1ns
74,7,969,2,400Gbps,1ns
75,0,521,3,400Gbps,1ns
75,1,585,3,400Gbps,1ns
75,2,649,3,400Gbps,1ns
75,3,713,3,400Gbps,1ns
75,4,777,3,400Gbps,1ns
75,5,841,3,400Gbps,1ns
75,6,905,3,400Gbps,1ns
75,7,969,3,400Gbps,1ns
76,0,521,4,400Gbps,1ns
76,1,585,4,400Gbps,1ns
76,2,649,4,400Gbps,1ns
76,3,713,4,400Gbps,1ns
76,4,777,4,400Gbps,1ns
76,5,841,4,400Gbps,1ns
76,6,905,4,400Gbps,1ns
76,7,969,4,400Gbps,1ns
77,0,521,5,400Gbps,1ns
77,1,585,5,400Gbps,1ns
77,2,649,5,400Gbps,1ns
77,3,713,5,400Gbps,1ns
77,4,777,5,400Gbps,1ns
77,5,841,5,400Gbps,1ns
77,6,905,5,400Gbps,1ns
77,7,969,5,400Gbps,1ns
78,0,521,6,400Gbps,1ns
78,1,585,6,400Gbps,1ns
78,2,649,6,400Gbps,1ns
78,3,713,6,400Gbps,1ns
78,4,777,6,400Gbps,1ns
78,5,841,6,400Gbps,1ns
78,6,905,6,400Gbps,1ns
78,7,969,6,400Gbps,1ns
79,0,521,7,400Gbps,1ns
79,1,585,7,400Gbps,1ns
79,2,649,7,400Gbps,1ns
79,3,713,7,400Gbps,1ns
79,4,777,7,400Gbps,1ns
79,5,841,7,400Gbps,1ns
79,6,905,7,400Gbps,1ns
79,7,969,7,400Gbps,1ns
80,0,522,0,400Gbps,1ns
80,1,586,0,400Gbps,1ns
80,2,650,0,400Gbps,1ns
80,3,714,0,400Gbps,1ns
80,4,778,0,400Gbps,1ns
80,5,842,0,400Gbps,1ns
80,6,906,0,400Gbps,1ns
80,7,970,0,400Gbps,1ns
81,0,522,1,400Gbps,1ns
81,1,586,1,400Gbps,1ns
81,2,650,1,400Gbps,1ns
81,3,714,1,400Gbps,1ns
81,4,778,1,400Gbps,1ns
81,5,842,1,400Gbps,1ns
81,6,906,1,400Gbps,1ns
81,7,970,1,400Gbps,1ns
82,0,522,2,400Gbps,1ns
82,1,586,2,400Gbps,1ns
82,2,650,2,400Gbps,1ns
82,3,714,2,400Gbps,1ns
82,4,778,2,400Gbps,1ns
82,5,842,2,400Gbps,1ns
82,6,906,2,400Gbps,1ns
82,7,970,2,400Gbps,1ns
83,0,522,3,400Gbps,1ns
83,1,586,3,400Gbps,1ns
83,2,650,3,400Gbps,1ns
83,3,714,3,400Gbps,1ns
83,4,778,3,400Gbps,1ns
83,5,842,3,400Gbps,1ns
83,6,906,3,400Gbps,1ns
83,7,970,3,400Gbps,1ns
84,0,522,4,400Gbps,1ns
84,1,586,4,400Gbps,1ns
84,2,650,4,400Gbps,1ns
84,3,714,4,400Gbps,1ns
84,4,778,4,400Gbps,1ns
84,5,842,4,400Gbps,1ns
84,6,906,4,400Gbps,1ns
84,7,970,4,400Gbps,1ns
85,0,522,5,400Gbps,1ns
85,1,586,5,400Gbps,1ns
85,2,650,5,400Gbps,1ns
85,3,714,5,400Gbps,1ns
85,4,778,5,400Gbps,1ns
85,5,842,5,400Gbps,1ns
85,6,906,5,400Gbps,1ns
85,7,970,5,400Gbps,1ns
86,0,522,6,400Gbps,1ns
86,1,586,6,400Gbps,1ns
86,2,650,6,400Gbps,1ns
86,3,714,6,400Gbps,1ns
86,4,778,6,400Gbps,1ns
86,5,842,6,400Gbps,1ns
86,6,906,6,400Gbps,1ns
86,7,970,6,400Gbps,1ns
87,0,522,7,400Gbps,1ns
87,1,586,7,400Gbps,1ns
87,2,650,7,400Gbps,1ns
87,3,714,7,400Gbps,1ns
87,4,778,7,400Gbps,1ns
87,5,842,7,400Gbps,1ns
87,6,906,7,400Gbps,1ns
87,7,970,7,400Gbps,1ns
88,0,523,0,400Gbps,1ns
88,1,587,0,400Gbps,1ns
88,2,651,0,400Gbps,1ns
88,3,715,0,400Gbps,1ns
88,4,779,0,400Gbps,1ns
88,5,843,0,400Gbps,1ns
88,6,907,0,400Gbps,1ns
88,7,971,0,400Gbps,1ns
89,0,523,1,400Gbps,1ns
89,1,587,1,400Gbps,1ns
89,2,651,1,400Gbps,1ns
89,3,715,1,400Gbps,1ns
89,4,779,1,400Gbps,1ns
89,5,843,1,400Gbps,1ns
89,6,907,1,400Gbps,1ns
89,7,971,1,400Gbps,1ns
90,0,523,2,400Gbps,1ns
90,1,587,2,400Gbps,1ns
90,2,651,2,400Gbps,1ns
90,3,715,2,400Gbps,1ns
90,4,779,2,400Gbps,1ns
90,5,843,2,400Gbps,1ns
90,6,907,2,400Gbps,1ns
90,7,971,2,400Gbps,1ns
91,0,523,3,400Gbps,1ns
91,1,587,3,400Gbps,1ns
91,2,651,3,400Gbps,1ns
91,3,715,3,400Gbps,1ns
91,4,779,3,400Gbps,1ns
91,5,843,3,400Gbps,1ns
91,6,907,3,400Gbps,1ns
91,7,971,3,400Gbps,1ns
92,0,523,4,400Gbps,1ns
92,1,587,4,400Gbps,1ns
92,2,651,4,400Gbps,1ns
92,3,715,4,400Gbps,1ns
92,4,779,4,400Gbps,1ns
92,5,843,4,400Gbps,1ns
92,6,907,4,400Gbps,1ns
92,7,971,4,400Gbps,1ns
93,0,523,5,400Gbps,1ns
93,1,587,5,400Gbps,1ns
93,2,651,5,400Gbps,1ns
93,3,715,5,400Gbps,1ns
93,4,779,5,400Gbps,1ns
93,5,843,5,400Gbps,1ns
93,6,907,5,400Gbps,1ns
93,7,971,5,400Gbps,1ns
94,0,523,6,400Gbps,1ns
94,1,587,6,400Gbps,1ns
94,2,651,6,400Gbps,1ns
94,3,715,6,400Gbps,1ns
94,4,779,6,400Gbps,1ns
94,5,843,6,400Gbps,1ns
94,6,907,6,400Gbps,1ns
94,7,971,6,400Gbps,1ns
95,0,523,7,400Gbps,1ns
95,1,587,7,400Gbps,1ns
95,2,651,7,400Gbps,1ns
95,3,715,7,400Gbps,1ns
95,4,779,7,400Gbps,1ns
95,5,843,7,400Gbps,1ns
95,6,907,7,400Gbps,1ns
95,7,971,7,400Gbps,1ns
96,0,524,0,400Gbps,1ns
96,1,588,0,400Gbps,1ns
96,2,652,0,400Gbps,1ns
